[2026-07-18T15:51:54.559Z] POST https://rr9---sn-uxaxjvh5gbxoupo5-x1xll.googlevideo.com/videoplayback?expire=1784411514&ei=GqFbar-7JMuU-LAP-r6XkA0&ip=181.92.161.8&id=o-AGeTIxCJE7jsAh9CYr4tA99JK4xBGb0UCrA0DOmCOZFc&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&cps=249&met=1784389914%2C&mh=tV&mm=31%2C26&mn=sn-uxaxjvh5gbxoupo5-x1xll%2Csn-2onja5-5p&ms=au%2Conr&mv=m&mvi=9&pl=22&rms=au%2Cau&initcwndbps=2680000&spc=SQ-umq5xwh_FL-CbldVxVXSOWREFYJkytFirZTl4tFM1qpoMl174cUBw1xhmzUUImyvywA&svpuc=1&ns=bo1ht1r64_eypX9weDFEyKgW&sabr=1&rqh=1&mt=1784389287&fvip=2&keepalive=yes&fexp=51565116&c=WEB_EMBEDDED_PLAYER&n=2y51hHaeT-JUVg&sparams=expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Cspc%2Csvpuc%2Cns%2Csabr%2Crqh&sig=AE0s2JYwRgIhAKujviSK0KU-1iFk6WInT2DGDfNFxC3MJDVBaMhC6GaCAiEAzmG78k6FvGTY6HjUjpRLPrfovovwNj0ybVZXhOI3q04%3D&lsparams=cps%2Cmet%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgAUCvTs8yHvuutTBQCe40noUCoo5C1_Xs3z--i3kim9ECIQCnQUJ9o9rg8FtJrkvgC8PHLbRnKle-HLxFPHZ-w58lmQ%3D%3D&cpn=UjpTzbQJNPy5dawK&cver=2.20260717.01.00&rn=1&alr=yes → pending (?ms, ?B)
[2026-07-18T15:51:54.559Z] GET https://www.youtube.com/s/player/882a803a/player_embed.vflset/es_MX/captions.js → 200 (36ms, 79834B)
[2026-07-18T15:51:54.560Z] POST https://www.youtube.com/youtubei/v1/next?prettyPrint=false → 200 (425ms, 45774B)
[2026-07-18T15:51:54.590Z] GET https://i.ytimg.com/vi_webp/m91L5dTdORs/sddefault.webp → 200 (242ms, 34676B)
[2026-07-18T15:51:54.598Z] GET https://yt3.ggpht.com/9ir8yKzeP88G2h2t_-9-wahJkl-qR__8BuCmIQrfj0nY03AZkFcEYhD9yBpJkITGteLBAXsCtw=s68-c-k-c0x00ffffff-no-rj → 200 (64ms, 2707B)
[2026-07-18T15:51:54.604Z] GET https://www.youtube.com/api/timedtext?v=m91L5dTdORs&ei=GqFbar-7JMuU-LAP-r6XkA0&caps=asr&opi=112496729&xoaf=5&xowf=1&hl=es-419&ip=0.0.0.0&ipbits=0&expire=1784415114&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=5D3962A66523962755C0F25087E0009239C20991.19FBA16B6CAE7F94D1DA3919869DE25331AEE35A&key=yt8&kind=asr&lang=es&fmt=json3&xorb=2&xobt=3&xovt=3&cbrand=apple&cbr=HeadlessChrome&cbrver=145.0.7632.6&c=WEB_EMBEDDED_PLAYER&cver=2.20260717.01.00&cplayer=UNIPLAYER&cos=Macintosh&cosver=10_15_7&cplatform=DESKTOP → 200 (46ms, 69862B)
[2026-07-18T15:51:54.605Z] GET https://www.gstatic.com/youtube/img/icons/mweb/youtube_fill/logo/v2/67px.svg → 200 (64ms, 478B)
[2026-07-18T15:51:54.605Z] GET https://fonts.gstatic.com/s/i/youtube_fill_experimental/volume_max/v2/24px.svg → 200 (17ms, 453B)
[2026-07-18T15:51:54.605Z] GET https://fonts.gstatic.com/s/i/youtube_outline_experimental/player_full_enter_alt/v1/24px.svg → 200 (17ms, 858B)
[2026-07-18T15:51:54.611Z] POST https://www.youtube.com/youtubei/v1/log_event?alt=json → 200 (34ms, 28B)
